order,beat,name_bilingual,name_en,phase,status,claim,key_metric,key_value,value_kind,evidence,note
26,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",replay_anomaly_kinds,0,real-zero,a2_exhibit_report:certify_cheap.anomaly_kinds,
27,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",replay_green,true,measured,a2_exhibit_report:certify_cheap.green,
28,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",lean_green,true,measured,a2_exhibit_report:certify_lean.green,
29,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",lean_returncode,0,real-zero,a2_exhibit_report:certify_lean.returncode,
30,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",lean_errors,0,real-zero,a2_exhibit_report:certify_lean.errors,
31,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",axioms_of_unsolvable,0,real-zero,a2_exhibit_report:certify_lean.axiom_reports[0].axioms,`#print axioms unsolvable` = [] -- the theorem leans on nothing and is still false of the world
32,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",theorem,right_room_locked,measured,a2_exhibit_report:theorem.name,
33,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",plan_status,UNSAT,measured,a2_exhibit_report:plan.status,
34,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",plan_length,,structurally-absent,a2_exhibit_report:plan (no 'length' key),an UNSAT arm has no plan length; the key does not exist and is not a 0
35,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",plan_backend,,structurally-absent,a2_exhibit_report:plan.backend = null,"no backend ran, because there was nothing to run"
36,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",false_of_the_world,true,measured,a2_exhibit_report:exhibit_is_false_of_the_world,
37,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",zero_space_region_size,21,measured,a2_exhibit_report:zero_space.region_size,
38,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",full_sweep_frames,248,measured,a2_exhibit_report:certify_cheap_vs_full_sweep.frames,
39,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",full_sweep_anomalies,44,measured,a2_exhibit_report:certify_cheap_vs_full_sweep.anomalies,"the cheap layer CAPS its anomaly list, so 44 is a cap, not a count"
40,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",full_sweep_anomaly_kinds,3,measured,a2_exhibit_report:certify_cheap_vs_full_sweep.anomaly_kinds,
41,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",full_sweep_first_anomaly,"t=184 cell (6,4) render_mismatch",measured,a2_exhibit_report:certify_cheap_vs_full_sweep.first_anomaly,
42,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",full_sweep_green,false,measured,a2_exhibit_report:certify_cheap_vs_full_sweep.green,
43,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",full_sweep_pixels_checked,20088,measured,a2_report:section 2 prose (`... across 20 088 checked ...`),"PROSE-SOURCED. No artefact carries a pixel key for the sweep. Cross-checked: 248 frames x 81 pixels/frame = 20088, and the two JSON certify records agree on the rate"
44,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",full_sweep_pixels_unexplained,128,measured,a2_report:section 2 prose (`128 unexplained pixels`),"PROSE-SOURCED, and it does NOT soften the anomaly caveat: 44 remains a cap on the anomaly LIST, which is a different quantity from the pixel count"
45,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",full_sweep_prose_anomalies,44,measured,"a2_report:section 2 prose, cross-checked against a2_exhibit_report:certify_cheap_vs_full_sweep.anomalies","the same sentence restates the anomaly count; extract() asserts the two agree, so a prose that drifted from the artefact stops the build"
46,L1,打脸 · refutation,refutation,loop,pass,a solved episode contradicts the machine-checked theorem,machine_checked_theorems_in,1,measured,a2_refutation:claim (one theorem: right_room_locked),
47,L1,打脸 · refutation,refutation,loop,pass,a solved episode contradicts the machine-checked theorem,solved_episodes_out,1,measured,a2_refutation:episode,
48,L1,打脸 · refutation,refutation,loop,pass,a solved episode contradicts the machine-checked theorem,episode_length_actions,18,measured,a2_refutation:episode.length,
49,L1,打脸 · refutation,refutation,loop,pass,a solved episode contradicts the machine-checked theorem,episode_frames,19,measured,a2_refutation:episode.frames,
50,L1,打脸 · refutation,refutation,loop,pass,a solved episode contradicts the machine-checked theorem,final_win,true,measured,a2_refutation:episode.final_win,
51,L1,打脸 · refutation,refutation,loop,pass,a solved episode contradicts the machine-checked theorem,win_frame,18,measured,a2_refutation:episode.win_frames[0],
52,L1,打脸 · refutation,refutation,loop,pass,a solved episode contradicts the machine-checked theorem,refuted,true,measured,a2_refutation:refuted,
53,L1,打脸 · refutation,refutation,loop,pass,a solved episode contradicts the machine-checked theorem,search_space_per_1_4,3,measured,a2_refutation:search_space_per_1_4,Theoria 1.4 bounds the error to three candidate sites on this path
54,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,witness_path_transitions,18,measured,a2_locate_report:path_length,
55,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,checks_run,3,measured,a2_locate_report:checks,"all three of 1.4's checks were run, not just the one that fired"
56,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,misread_board,false,measured,a2_locate_report:checks.misread_board,
57,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,board_diffs,0,real-zero,a2_locate_report:board_diffs,a measured zero: the board was compared frame by frame and matched everywhere
58,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,wrong_goal_test,false,measured,a2_locate_report:checks.wrong_goal_test,
59,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,goal_diffs,0,real-zero,a2_locate_report:goal_diffs,a measured zero: the goal test agreed with the episode's win flag at every frame
60,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,mispredicted_step,true,measured,a2_locate_report:checks.mispredicted_step,
61,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,n_step_diffs,1,measured,a2_locate_report:n_step_diffs,
62,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,located_at_t,11,measured,a2_locate_report:located.t,
63,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,mover_at,"(6,4)",measured,a2_locate_report:located.mover_at,
64,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,action,DOWN,measured,a2_locate_report:located.action,
65,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,manual_predicts,"(6,4)",measured,a2_locate_report:located.manual_predicts,
66,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,world_shows,"(7,6)",measured,a2_locate_report:located.world_shows,
67,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,rules_that_fired,0,real-zero,a2_locate_report:located.rules_that_fired,"a measured zero, and the whole diagnosis: nothing fired, so nothing can be corrected"
68,L2,定位 · localisation,localisation,loop,pass,§1.4's three-way narrows the error to one place on the witness path,diagnosis,"missing rule, not wrong rule",measured,a2_loop_ledger:beats[L2].detail.diagnosis,
69,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",probes_designed,5,measured,"a2_probes (rows), a2_probe_report:probes_designed",
70,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",probes_executable,4,measured,a2_probe_report:executable,
71,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",probes_refuted,4,measured,a2_probe_report:refuted,'refuted' means the probe refuted at least one hypothesis -- not that nothing survived
72,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",probes_leaving_a_surviving_hypothesis,4,measured,a2_probes:surviving (per row),the honest counterpart to `confirmed`: every executable probe left one standing
73,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",probe_report_confirmed_field,0,measured,a2_probe_report:confirmed,"a coding artefact, NOT a finding: the status vocabulary makes 'refuted' win over 'confirmed' whenever a probe refutes anything, and all four did. P-02.1/2/3 confirm `ring_is_solid`. Never draw this 0 beside the 4."
74,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",probes_not_separable,1,measured,a2_probe_report:not_separable,
75,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",trace_frames_before,184,measured,a2_probe_report:trace_frames_before,
76,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",trace_frames_after,196,measured,a2_probe_report:trace_frames_after,
77,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",trace_frames_delta,12,measured,a2_probe_report:trace_frames_after - trace_frames_before,
78,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",trace_transitions_before,183,measured,a2_exhibit_report:certify_cheap.transitions,
79,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",trace_transitions_after,195,measured,a2_repair_report:certify_cheap.transitions,
80,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-01.tier,executable,measured,a2_probes:P-01.tier,
81,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-01.status,refuted,measured,a2_probes:P-01.status,
82,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-01.hypotheses_on_the_record,3,measured,a2_probes:P-01.predictions,"written before the action, not after"
83,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-01.hypotheses_refuted,2,measured,a2_probes:P-01.refuted,
84,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-01.hypotheses_surviving,1,measured,a2_probes:P-01.surviving,missing_rule__teleport_to_7_6
85,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-01.manual_agreed,false,measured,a2_probes:P-01.manual_agreed,"observation: jumps to (7,6)"
86,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.1.tier,executable,measured,a2_probes:P-02.1.tier,
87,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.1.status,refuted,measured,a2_probes:P-02.1.status,
88,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.1.hypotheses_on_the_record,2,measured,a2_probes:P-02.1.predictions,"written before the action, not after"
89,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.1.hypotheses_refuted,1,measured,a2_probes:P-02.1.refuted,
90,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.1.hypotheses_surviving,1,measured,a2_probes:P-02.1.surviving,ring_is_solid
91,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.1.manual_agreed,true,measured,a2_probes:P-02.1.manual_agreed,observation: stays
92,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.2.tier,executable,measured,a2_probes:P-02.2.tier,
93,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.2.status,refuted,measured,a2_probes:P-02.2.status,
94,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.2.hypotheses_on_the_record,2,measured,a2_probes:P-02.2.predictions,"written before the action, not after"
95,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.2.hypotheses_refuted,1,measured,a2_probes:P-02.2.refuted,
96,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.2.hypotheses_surviving,1,measured,a2_probes:P-02.2.surviving,ring_is_solid
97,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.2.manual_agreed,true,measured,a2_probes:P-02.2.manual_agreed,observation: stays
98,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.3.tier,executable,measured,a2_probes:P-02.3.tier,
99,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.3.status,refuted,measured,a2_probes:P-02.3.status,
100,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.3.hypotheses_on_the_record,2,measured,a2_probes:P-02.3.predictions,"written before the action, not after"
101,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.3.hypotheses_refuted,1,measured,a2_probes:P-02.3.refuted,
102,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.3.hypotheses_surviving,1,measured,a2_probes:P-02.3.surviving,ring_is_solid
103,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-02.3.manual_agreed,true,measured,a2_probes:P-02.3.manual_agreed,observation: stays
104,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-03.tier,hypothetical,measured,a2_probes:P-03.tier,
105,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-03.status,not_separable_in_this_world,measured,a2_probes:P-03.status,
106,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-03.hypotheses_on_the_record,,structurally-absent,a2_probes:P-03 (key absent),"designed and unrunnable: this world has exactly one Portal, so neither separating configuration is reachable. probes.jsonl carries NO outcome fields for this row -- no manual_agreed, no refuted, no surviving. Hatched, not zero."
107,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-03.hypotheses_refuted,,structurally-absent,a2_probes:P-03 (key absent),"designed and unrunnable: this world has exactly one Portal, so neither separating configuration is reachable. probes.jsonl carries NO outcome fields for this row -- no manual_agreed, no refuted, no surviving. Hatched, not zero."
108,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-03.hypotheses_surviving,,structurally-absent,a2_probes:P-03 (key absent),"designed and unrunnable: this world has exactly one Portal, so neither separating configuration is reachable. probes.jsonl carries NO outcome fields for this row -- no manual_agreed, no refuted, no surviving. Hatched, not zero."
109,L3,戳探 · probe,probe,loop,pass,"predictions written first, executed through frames, results banked",P-03.manual_agreed,,structurally-absent,a2_probes:P-03 (key absent),"designed and unrunnable: this world has exactly one Portal, so neither separating configuration is reachable. probes.jsonl carries NO outcome fields for this row -- no manual_agreed, no refuted, no surviving. Hatched, not zero."
110,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",re_derivable_from_grown_evidence,true,measured,a2_loop_ledger:beats[L4].detail.re_derivable_from_grown_evidence,"THE BEAT'S OWN METRIC, and it is a boolean: loop_ledger's L4 detail has exactly one key"
111,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",count_shaped_metric_in_the_ledger,,structurally-absent,"a2_loop_ledger:beats[L4].detail (one key, a boolean)","the ledger holds no count for L4, and none is invented from one. The engines_diff_probed rows below are corroboration from a DIFFERENT artefact -- they show what the boolean is asserting; they are not this beat's score"
112,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",teleport_down_steps_in_repaired_plan,1,measured,a2_plan_repaired:actions,"the one rule the repair restored, as it appears in the plan"
113,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",pddl_cells_added,1,measured,a2_repair_report:compiled.pddl_cells_added,"cell (7,4), the teleport's intermediate"
114,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",grown_evidence_frames,196,measured,a2_engines_diff_probed:candidates_probed.jsonl.frames,"corroboration, not the beat's metric"
115,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",grown_evidence_transitions,195,measured,a2_engines_diff_probed:candidates_probed.jsonl.transitions,"corroboration, not the beat's metric"
116,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",rules_re_proposed_from_grown_evidence,23,measured,a2_engines_diff_probed:candidates_probed.jsonl.rules_proposed,"corroboration, not the beat's metric: the same 23-rule set the SWEEP proposed, now derived from evidence the loop grew for itself"
117,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",re_proposed_rules_with_a_jump_effect,1,measured,a2_engines_diff_probed:candidates_probed.jsonl.rules_with_a_jump_effect,the history proposed 0 of these; the grown evidence proposes 1 again
118,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",re_proposed_jump_rule,obj1_jump_DOWN,measured,a2_engines_diff_probed:candidates_probed.jsonl.rules_with_a_jump_effect[0].name,"asserted in extract() to be obj1_jump_DOWN -- the claim is that it is the SAME rule, not merely some jump rule"
119,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",re_proposed_jump_transition,194,measured,a2_engines_diff_probed:candidates_probed.jsonl.rules_with_a_jump_effect[0].transitions[0],"transition 194 in the probed trace, where the sweep saw it at 183: a witness the loop produced, not one it was given"
120,L4,修订 · revision,revision,loop,pass,"the manual is rewritten from the probe record, and the grown evidence re-proposes the rule that was added",re_proposed_jump_coverage,1/1,measured,a2_engines_diff_probed:candidates_probed.jsonl.rules_with_a_jump_effect[0].coverage,
121,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",stale_certificate_died,true,measured,a2_repair_report:stale_certificate.died,
122,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",stale_lean_returncode,1,measured,a2_repair_report:stale_certificate.lean.returncode,
123,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",stale_lean_errors,5,measured,a2_repair_report:stale_certificate.lean.errors,
124,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",stale_axioms_of_unsolvable,sorryAx,measured,a2_repair_report:stale_certificate.lean.axiom_reports[0].axioms,"the old certificate now leans on sorryAx -- it did not merely weaken, it died"
125,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",stale_region_size,21,measured,a2_repair_report:stale_certificate.region_size,
126,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",new_theorem,pocket_unreachable,measured,a2_loop_ledger:beats[L5].detail.new_theorem,
127,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",new_lean_green,true,measured,a2_repair_report:certify_lean.green,
128,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",new_lean_axioms,0,real-zero,a2_repair_report:certify_lean.axiom_reports[0].axioms,axiom-free again -- and this time true
129,L5,重证 · re-proof,re-proof,loop,pass,"the refuted certificate dies under the repaired step, and a true one takes its place",latch_theorem,inv_all,measured,a2_repair_report:certify_lean_latch.axiom_reports[0].name,
