section,line,l1_cold_start,l2_from_scratch,l2_transfer,ratio_transfer_over_from_scratch,saved,panel,value_state,source_key,note
negative_controls,l2_negctl_oneway:caught,,,true,,,D,value,a3_negative_controls,the portal's B -> exit_b leg is deleted
negative_controls,l2_negctl_oneway:claimed_a_win,,,false,,,D,value,a3_negative_controls,the portal's B -> exit_b leg is deleted
negative_controls,l2_negctl_oneway:world_is_solvable,,,false,,,D,value,a3_negative_controls,the portal's B -> exit_b leg is deleted
negative_controls,l2_negctl_oneway:first_mismatch,,,,,,D,insufficient-data,a3_negative_controls,"null: a mismatch did occur (outcome replay_mismatch, anomaly kinds goal_mismatch, render_mismatch, unowned_pixel) but no index was recorded. ABSENT, not 0 and not 'no mismatch'."
negative_controls,l2_negctl_rewired:static_certify_green,,,true,,,D,value,a3_negative_controls,the portal's B leg lands the Cart on a different cell
negative_controls,l2_negctl_rewired:replay_certify_green,,,false,,,D,value,a3_negative_controls,the portal's B leg lands the Cart on a different cell
negative_controls,l2_negctl_rewired:caught,,,true,,,D,value,a3_negative_controls,the portal's B leg lands the Cart on a different cell
negative_controls,l2_negctl_rewired:claimed_a_win,,,false,,,D,value,a3_negative_controls,the portal's B leg lands the Cart on a different cell
negative_controls,l2_negctl_rewired:world_is_solvable,,,true,,,D,value,a3_negative_controls,the portal's B leg lands the Cart on a different cell
negative_controls,l2_negctl_rewired:first_mismatch,,,,,,D,insufficient-data,a3_negative_controls,"null: a mismatch did occur (outcome replay_mismatch, anomaly kinds goal_mismatch, render_mismatch, unowned_pixel) but no index was recorded. ABSENT, not 0 and not 'no mismatch'."
provenance_l2_transfer,derived_fields,,,6,,,E,value,a3_provenance_transfer,"derived from frame 0: arena, background, board, height, objects, width"
provenance_l2_transfer,supplied_fields,,,3,,,E,value,a3_provenance_transfer,"supplied to EVERY arm alike (cold start, control and transfer), so the comparison isolates the rules: goal_cell, landmarks, name"
provenance_l2_transfer,also_derivable.goal_cell,,,,,,E,not-applicable,a3_provenance_transfer,"structurally not derivable, NOT '0 derived': the goal cell is not rendered (D-A3-002) and a portal exit is plain floor (D-A3-003); one frame or a thousand, neither is in the pixels."
provenance_l2_transfer,also_derivable.landmarks,,,,,,E,not-applicable,a3_provenance_transfer,"structurally not derivable, NOT '0 derived': the goal cell is not rendered (D-A3-002) and a portal exit is plain floor (D-A3-003); one frame or a thousand, neither is in the pixels."
